countries,total_collected_msw_(t),food,garden,paper,plastic,glass,metal,rubber_and_leather,textile,other,scenario,co₂_emissions_reduction_potential
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,Digest organics,-0.14994793484349
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,Retrofit landfill,0.0
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,Half waste,-0.5
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,Compost + retrofit,-0.14994793484349
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,Digest + retrofit,-0.14994793484349
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,All strategies (C) ,-0.574973967421745
France,35832239.62222222,32.0,0.0,20.0,9.0,10.0,3.0,0.0,0.0,26.0,All strategies (D),-0.574973967421745
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,Compost organics,-0.0941696589001782
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,Digest organics,-0.0941696589001782
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,Retrofit landfill,0.0
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,Half waste,-0.5
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,Compost + retrofit,-0.0941696589001782
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,Digest + retrofit,-0.0941696589001782
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,All strategies (C),-0.5470848294500892
Germany,52099698.133333325,13.382785122047286,13.466102465183452,13.91,7.66,5.209606237186803,1.11,0.0,0.47,44.791506175582455,All strategies (D),-0.5470848294500892
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,Compost organics,-0.2852378302868555
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,Digest organics,-0.2852378302868555
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,Retrofit landfill,-0.2948476558959961
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,Half waste,-0.5
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,Compost + retrofit,-0.4542358769589508
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,Digest + retrofit,-0.4542358769589508
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,All strategies (C) ,-0.7271179384794755
India,164336474.3411206,53.0,1.0,12.5,11.0,3.0,2.0,0.5,0.0,17.0,All strategies (D),-0.7271179384794755
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,Compost organics,-0.4360482482568661
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,Digest organics,-0.4360482482568661
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,Retrofit landfill,-0.1826889783225119
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,Half waste,-0.5
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,Compost + retrofit,-0.5124122411956761
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,Digest + retrofit,-0.5124122411956761
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,All strategies (C),-0.7562061205978381
Indonesia,39858406.27166768,49.86,8.34,10.82,18.8,0.71,0.35,0.51,3.97,6.6,All strategies (D),-0.7562061205978381
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,Compost organics,-0.6395484715060826
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,Digest organics,-0.6395484715060826
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,Retrofit landfill,-0.179853974941911
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,Half waste,-0.5
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,Compost + retrofit,-0.6963444635930018
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,Digest + retrofit,-0.6963444635930018
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,All strategies (C) ,-0.8481722317965009
"Iran, Islamic Rep.",13862030.985760676,69.0,1.0,8.0,10.0,1.0,3.0,0.0,2.0,6.0,All strategies (D),-0.8481722317965009
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,Compost organics,-0.5354063027881082
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,Digest organics,-0.5354063027881082
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,Retrofit landfill,-0.7572932146932223
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,Half waste,-0.5
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,Compost + retrofit,-0.7572932146932223
Iraq,10716520.5483203,68.90672016048146,1.785356068204614,9.62888665997994,5.305917753259779,2.30692076228686,0.9829488465396188,5.105315947843531,0.0,6.018054162487462,Digest + retrofit,-0.7572932146932223
